date,target_reg_tomorrow,target_class_tomorrow
2024-08-11,65.91666666666667,1
2024-08-12,75.04166666666667,1
2024-08-13,76.0,1
2024-08-14,78.25,1
2024-08-15,85.58333333333333,1
2024-08-16,86.45833333333333,1
2024-08-17,91.45833333333331,1
2024-08-18,76.66666666666667,1
2024-08-19,79.04166666666667,1
2024-08-20,82.95833333333333,1
2024-08-21,73.41666666666667,1
2024-08-22,73.29166666666667,1
2024-08-23,98.08333333333331,1
2024-08-24,102.95833333333331,2
2024-08-25,78.70833333333333,1
2024-08-26,68.625,1
2024-08-27,68.75,1
2024-08-28,62.583333333333336,1
2024-08-29,65.58333333333333,1
2024-08-30,66.45833333333333,1
2024-08-31,81.08333333333333,1
2024-09-01,70.875,1
2024-09-02,55.25,1
2024-09-03,66.33333333333333,1
2024-09-04,51.625,1
2024-09-05,56.333333333333336,1
2024-09-06,48.708333333333336,0
2024-09-07,54.333333333333336,1
2024-09-08,66.91666666666667,1
2024-09-09,78.20833333333333,1
2024-09-10,78.5,1
2024-09-11,88.83333333333333,1
2024-09-12,69.625,1
2024-09-13,56.0,1
2024-09-14,49.875,0
2024-09-15,58.04166666666666,1
2024-09-16,56.208333333333336,1
2024-09-17,54.958333333333336,1
2024-09-18,58.41666666666666,1
2024-09-19,49.333333333333336,0
2024-09-20,50.625,1
2024-09-21,56.29166666666666,1
2024-09-22,71.25,1
2024-09-23,80.83333333333333,1
2024-09-24,100.79166666666669,2
2024-09-25,81.375,1
2024-09-26,60.375,1
2024-09-27,58.16666666666666,1
2024-09-28,70.54166666666667,1
2024-09-29,100.83333333333331,2
2024-09-30,78.875,1
2024-10-01,76.875,1
2024-10-02,70.79166666666667,1
2024-10-03,77.54166666666667,1
2024-10-04,106.91666666666669,2
2024-10-05,107.33333333333331,2
2024-10-06,108.54166666666669,2
2024-10-07,95.0,1
2024-10-08,94.04166666666669,1
2024-10-09,74.375,1
2024-10-10,79.66666666666667,1
2024-10-11,92.91666666666669,1
2024-10-12,91.875,1
2024-10-13,85.41666666666667,1
2024-10-14,115.58333333333331,2
2024-10-15,74.54166666666667,1
2024-10-16,67.83333333333333,1
2024-10-17,64.66666666666667,1
2024-10-18,64.0,1
2024-10-19,69.20833333333333,1
2024-10-20,87.0,1
2024-10-21,74.08333333333333,1
2024-10-22,74.875,1
2024-10-23,91.41666666666669,1
2024-10-24,85.95833333333333,1
2024-10-25,91.0,1
2024-10-26,92.54166666666669,1
2024-10-27,65.16666666666667,1
2024-10-28,62.29166666666666,1
2024-10-29,92.66666666666669,1
2024-10-30,73.70833333333333,1
2024-10-31,89.875,1
2024-11-01,82.33333333333333,1
2024-11-02,77.29166666666667,1
2024-11-03,95.625,1
2024-11-04,80.375,1
2024-11-05,98.125,1
2024-11-06,110.41666666666669,2
2024-11-07,88.20833333333333,1
2024-11-08,93.20833333333331,1
2024-11-09,99.75,1
2024-11-10,92.625,1
2024-11-11,88.54166666666667,1
2024-11-12,103.16666666666669,2
2024-11-13,73.33333333333333,1
2024-11-14,61.708333333333336,1
2024-11-15,76.08333333333333,1
2024-11-16,63.458333333333336,1
2024-11-17,82.20833333333333,1
2024-11-18,89.33333333333333,1
2024-11-19,107.08333333333331,2
2024-11-20,96.33333333333331,1
2024-11-21,98.75,1
2024-11-22,96.25,1
2024-11-23,134.5,2
2024-11-24,88.75,1
2024-11-25,104.20833333333331,2
2024-11-26,83.70833333333333,1
2024-11-27,84.79166666666667,1
2024-11-28,60.5,1
2024-11-29,82.70833333333333,1
2024-11-30,112.0,2
2024-12-01,102.95833333333331,2
2024-12-02,99.70833333333331,1
2024-12-03,128.54166666666666,2
2024-12-04,123.125,2
2024-12-05,95.45833333333331,1
2024-12-06,66.875,1
2024-12-07,91.04166666666669,1
2024-12-08,71.0,1
2024-12-09,88.41666666666667,1
2024-12-10,59.16666666666666,1
2024-12-11,58.0,1
2024-12-12,62.375,1
2024-12-13,62.875,1
2024-12-14,59.79166666666666,1
2024-12-15,65.0,1
2024-12-16,81.83333333333333,1
2024-12-17,133.04166666666666,2
2024-12-18,107.04166666666669,2
2024-12-19,94.5,1
2024-12-20,106.41666666666669,2
2024-12-21,124.29166666666669,2
2024-12-22,109.0,2
2024-12-23,61.875,1
2024-12-24,46.875,0
2024-12-25,61.083333333333336,1
2024-12-26,69.125,1
2024-12-27,79.625,1
2024-12-28,97.08333333333331,1
2024-12-29,107.5,2
2024-12-30,139.79166666666666,2
2024-12-31,91.625,1
2025-01-01,143.5,2
2025-01-02,109.91666666666669,2
2025-01-03,100.0,1
2025-01-04,113.41666666666669,2
2025-01-05,122.33333333333331,2
2025-01-06,142.83333333333334,2
2025-01-07,116.33333333333331,2
2025-01-08,113.25,2
2025-01-09,104.66666666666669,2
2025-01-10,85.125,1
2025-01-11,70.75,1
2025-01-12,99.95833333333331,1
2025-01-13,145.875,2
2025-01-14,138.58333333333334,2
2025-01-15,96.79166666666669,1
2025-01-16,65.54166666666667,1
2025-01-17,100.125,2
2025-01-18,136.58333333333334,2
2025-01-19,100.33333333333331,2
2025-01-20,109.66666666666669,2
2025-01-21,102.33333333333331,2
2025-01-22,90.41666666666669,1
2025-01-23,94.91666666666669,1
2025-01-24,76.70833333333333,1
2025-01-25,74.125,1
2025-01-26,89.58333333333333,1
2025-01-27,99.375,1
2025-01-28,106.45833333333331,2
2025-01-29,119.125,2
2025-01-30,138.41666666666666,2
2025-01-31,119.04166666666669,2
